Node,Nid,Billing Reference,Child's Name,Billing Discount,Pre-Booked Session,Pre-Booked Duration (h),Pre-Booked Charged Duration,Pre-Booked FE,Pre-Booked Childcare Charge,Pre-Booked Away Discount,Pre-Booked Billing Discount,Pre-Booked TTO Surcharge,Pre-Booked Late Change Surcharge,Pre-Booked Services Charge,Pre-Booked Booking Charge,Booked Session,Booked Duration (h),Actual Attendance,Free Entitlement,Charged Duration,Childcare Charge,Unscheduled Charge,Away Discount,Billing Discount,TTO Surcharge,Late Change Surcharge,Services Charge,Booking Charge,Billing Adjustment,Childcare Setting
235925-243063,243063,BERENDE,"Berende, Darius",5.00%,"Monday, 14 November 2022 - 8:30am to 2:30pm",6,0,6,0,0,0,0,0,0,0,14/11/2022 - 8:30am to 2:30pm,6,14/11/2022 - 8:34am to 2:33pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
193662-243181,243181,CANNINGS,"Cannings, Lucas",0.00%,"Monday, 14 November 2022 - 8:30am to 5:00pm",8.5,0,8.5,0,0,0,0,0,5.99,5.99,14/11/2022 - 8:30am to 5:00pm,8.5,14/11/2022 - 8:57am to 5:00pm,8.5,0,0,0,0,0,0,0,5.99,5.99,0,KIDZ Academy - Cuckfield
164227-243272,243272,DAVIDSON01,"Davidson-Hewson, Eilidh ",5.00%,"Tuesday, 15 November 2022 - 8:00am to 4:00pm",8,0,8,0,0,0,0,0,4.55,4.55,14/11/2022 - 8:30am to 3:30pm,7,14/11/2022 - 8:38am to 3:30pm,7,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - Lindfield Lodge
210535-243558,243558,HILL,"Hill, Jensen",0.00%,"Monday, 14 November 2022 - 8:30am to 4:00pm",7.5,1.5,6,13.05,0,0,0,0,0,13.05,14/11/2022 - 8:30am to 4:00pm,7.5,14/11/2022 - 8:32am to 4:02pm,6,1.5,13.05,0,0,0,0,0,0,13.05,0,Norto5 KIDZ - West End Farm
238174-243855,243855,OSBORNE,"Osborne, Lewis",0.00%,"Monday, 14 November 2022 - 8:30am to 1:30pm",5,0,5,0,0,0,0,0,4.55,4.55,14/11/2022 - 8:30am to 1:30pm,5,14/11/2022 - 8:32am to 1:34pm,5,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - West End Farm
171181-242989,242989,BAILEY01,"Bailey , Benjamin ",0.00%,"Monday, 14 November 2022 - 9:00am to 5:00pm",8,0,8,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 5:00pm,8,14/11/2022 - 9:10am to 5:00pm,8,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
242180-243009,243009,BAILEY_R,"Bailey, Ross",0.00%,"Monday, 14 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,4.55,4.55,14/11/2022 - 9:00am to 2:00pm,5,14/11/2022 - 8:58am to 1:47pm,5,0,0,0,0,0,0,0,0,0,-4.55,KIDZ Academy - Lindfield
242303-243025,243025,BAKER_H,"Baker, Hamida",0.00%,"Monday, 14 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 3:00pm,6,14/11/2022 - 9:32am to 3:00pm,6,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
223386-243042,243042,BALDWIN,"Baldwin, Lainey",0.00%,"Wednesday, 16 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 2:00pm,5,14/11/2022 - 9:32am to 2:00pm,5,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
239563-243099,243099,BOBOC,"Boboc, Maya",0.00%,"Monday, 14 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 3:00pm,6,14/11/2022 - 9:15am to 2:45pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
241766-243262,243262,DALBERG-CONWAY,"Dalberg-Conway, Harley",0.00%,"Monday, 14 November 2022 - 9:00am to 1:00pm",4,0,4,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 1:00pm,4,14/11/2022 - 9:10am to 1:00pm,4,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
242015-243417,243417,HAY-ELLIS,"George, Hay-Ellis",0.00%,"Monday, 14 November 2022 - 9:00am to 1:00pm",4,4,0,34.8,0,0,0,0,4.55,39.35,14/11/2022 - 9:00am to 1:00pm,4,14/11/2022 - 9:02am to 12:57pm,0,4,34.8,0,0,0,0,0,4.55,39.35,0,Norto5 KIDZ - West End Farm
233844-243422,243422,GEORGE,"George, Milo",0.00%,"Monday, 14 November 2022 - 9:00am to 5:30pm",8.5,8.5,0,81,0,0,0,0,6.34,87.34,14/11/2022 - 9:00am to 5:30pm,8.5,14/11/2022 - 9:10am to 5:30pm,0,8.5,81,0,0,0,0,0,6.34,87.34,0,KIDZ Academy - Cuckfield
242253-243481,243481,GRASSI,"Grassi, Oah",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 9:00am to 5:00pm,8,01/01/2000 - 12:00am,8,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
210826-243538,243538,HARRISON,"Harrison, Fletcher",0.00%,"Monday, 14 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 3:00pm,6,14/11/2022 - 9:10am to 3:02pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
231152-243627,243627,JAMES,"James, Khodi ",0.00%,"Monday, 14 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,4.55,4.55,14/11/2022 - 9:00am to 2:00pm,5,14/11/2022 - 9:10am to 2:00pm,5,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Cuckfield
196952-243657,243657,LAWRENCE01,"John-Donegan, Marley",30.00%,"Monday, 14 November 2022 - 9:00am to 6:00pm",9,9,0,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 6:00pm,9,14/11/2022 - 9:09am to 6:00pm,0,9,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
236621-243695,243695,BIJU,"Karthik subash biju, Danvanth ",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 9:00am to 11:00am,2,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Station Close
234414-243752,243752,MANTHORPE,"Manthorpe, Bobby",0.00%,"Monday, 14 November 2022 - 9:00am to 2:30pm",5.5,0,5.5,0,0,0,0,0,4.75,4.75,14/11/2022 - 9:00am to 2:30pm,5.5,14/11/2022 - 10:27am to 2:30pm,5.5,0,0,0,0,0,0,0,4.75,4.75,0,KIDZ Academy - Cuckfield
211085-243769,243769,MAURO-FOSSAT,"Mauro-Fossat, Kataleya",0.00%,"Monday, 14 November 2022 - 9:00am to 4:30pm",7.5,7.5,0,65.25,0,0,0,0,6.34,71.59,14/11/2022 - 9:00am to 4:30pm,7.5,14/11/2022 - 9:16am to 10:32am,0,7.5,65.25,0,0,0,0,0,5.99,71.24,-0.35,KIDZ Academy - Cuckfield
174049-243816,243816,MULLER,"Muller Andrews, Edith",0.00%,"Monday, 14 November 2022 - 9:00am to 5:00pm",8,0,8,0,0,0,0,0,5.99,5.99,14/11/2022 - 9:00am to 5:00pm,8,14/11/2022 - 10:12am to 5:00pm,8,0,0,0,0,0,0,0,5.99,5.99,0,Norto5 KIDZ - Lindfield Lodge
210767-243831,243831,NAMANYA,"Namanya, Eskame",5.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 9:00am to 3:30pm,6.5,14/11/2022 - 9:01am to 3:30pm,6.5,0,0,0,0,0,0,0,4.55,4.55,4.55,KIDZ Academy - Lindfield
234281-243923,243923,PROUDLOCK,"Proudlock, Elsie",0.00%,"Monday, 14 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 3:00pm,6,14/11/2022 - 10:13am to 3:00pm,6,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
233445-243978,243978,ROWLAND,"Rowland-Bernasconi, Caelan",0.00%,"Monday, 14 November 2022 - 9:00am to 4:00pm",7,0,7,0,0,0,0,0,4.55,4.55,14/11/2022 - 9:00am to 4:00pm,7,14/11/2022 - 9:02am to 3:46pm,7,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - West End Farm
162357-244006,244006,SEAR,"Sear, Harvey",5.00%,"Monday, 14 November 2022 - 9:00am to 2:30pm",5.5,0,5.5,0,0,0,0,0,4.55,4.55,14/11/2022 - 9:00am to 2:30pm,5.5,14/11/2022 - 9:15am to 2:33pm,5.5,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Lindfield
230810-244056,244056,SOUTER,"Souter, Libby",0.00%,"Monday, 14 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,4.55,4.55,14/11/2022 - 9:00am to 3:00pm,6,14/11/2022 - 8:55am to 2:52pm,6,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Lindfield
228134-244075,244075,STEYNOR,"Steynor, Josephine",0.00%,"Monday, 14 November 2022 - 9:00am to 2:00pm",5,5,0,50,0,0,3.5,0,2.25,55.75,14/11/2022 - 9:00am to 2:30pm,5.5,14/11/2022 - 9:32am to 2:30pm,0,5.5,55,0,0,0,3.85,0,2.25,61.1,5.35,Norto5 KIDZ - Lindfield Lodge
239458-244084,244084,STONE,"Stone, Lily",0.00%,"Monday, 14 November 2022 - 9:00am to 1:00pm",4,0,4,0,0,0,0,0,4.55,4.55,14/11/2022 - 9:00am to 1:00pm,4,14/11/2022 - 8:56am to 12:59pm,4,0,0,0,0,0,0,0,0,0,-4.55,KIDZ Academy - Lindfield
234186-244246,244246,WELLING,"Welling, Chelsea",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 9:00am to 12:00pm,3,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
242742-244321,244321,WORRALL,"Worrall, Alfred",0.00%,"Monday, 14 November 2022 - 9:00am to 1:00pm",4,4,0,34.8,0,0,2.44,0,4.55,41.79,14/11/2022 - 9:00am to 1:00pm,4,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-41.79,KIDZ Academy - Lindfield
225498-244345,244345,YORK,"York, Ella",0.00%,"Monday, 14 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,14/11/2022 - 9:00am to 12:00pm,3,14/11/2022 - 10:13am to 11:59am,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
244361-244444,244444,TERRY,"Terry, Jude",0.00%,"Monday, 14 November 2022 - 9:00am to 12:00pm",3,3,0,30,0,0,2.1,0,0,32.1,14/11/2022 - 9:00am to 12:00pm,3,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-32.1,Norto5 KIDZ - Lindfield Lodge
182195-243399,243399,GARTH01,"Garth, Birdie ",0.00%,"Monday, 14 November 2022 - 9:30am to 2:30pm",5,0,5,0,0,0,0,0,4.55,4.55,14/11/2022 - 9:30am to 2:30pm,5,14/11/2022 - 9:22am to 2:29pm,5,0,0,1.02,0,0,0.07,0,4.55,5.64,1.09,KIDZ Academy - Cuckfield
190904-243452,243452,GLENNY,"Glenny, Edith",0.00%,"Monday, 14 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,14/11/2022 - 9:30am to 12:00pm,2.5,01/01/2000 - 12:00am,2.5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
218297-243843,243843,ONSLOW,"Onslow, Summer",0.00%,"Monday, 14 November 2022 - 9:30am to 3:00pm",5.5,5.5,0,53.08,0,0,0,0,4.55,57.63,14/11/2022 - 9:30am to 3:00pm,5.5,14/11/2022 - 9:30am to 3:00pm,0,5.5,53.08,0,0,0,0,0,4.55,57.63,0,Norto5 KIDZ - West End Farm
234418-243903,243903,PILLAI,"Pillai, Viaan",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 9:30am to 2:30pm,5,14/11/2022 - 9:47am to 2:45pm,0,5,43.5,2.18,0,0,0,0,4.55,50.23,50.23,KIDZ Academy - Lindfield
227958-244040,244040,SMITH07,"Smith, Darcie",5.00%,"Monday, 14 November 2022 - 9:30am to 2:30pm",5,0,5,0,0,0,0,0,0,0,14/11/2022 - 9:30am to 2:30pm,5,01/01/2000 - 12:00am,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
162553-244168,244168,VANCE,"Vance, Ivy",0.00%,"Monday, 14 November 2022 - 9:30am to 5:00pm",7.5,0,7.5,0,0,0,0,0,5.99,5.99,14/11/2022 - 9:30am to 5:00pm,7.5,14/11/2022 - 9:56am to 5:00pm,7.5,0,0,0,0,0,0,0,5.99,5.99,0,KIDZ Academy - Cuckfield
239157-243640,243640,SUNDAR,"John Sundar, Stasya Johanne",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 10:00am to 3:00pm,5,01/01/2000 - 12:00am,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
171348-243515,243515,GREENO,"Greeno, Carys",5.00%,"Tuesday, 15 November 2022 - 11:00am to 6:00pm",7,7,0,67.55,0,-3.38,0,0,5.99,70.16,14/11/2022 - 11:00am to 5:00pm,6,14/11/2022 - 11:25am to 4:58pm,0,6,57.9,0,0,-2.9,0,0,5.99,60.99,-9.17,KIDZ Academy - Lindfield
231084-244798,244798,JACKSONK,"Randall, Jackson",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 12:00pm to 6:00pm,6,14/11/2022 - 12:00pm to 6:02pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
208635-244101,244101,SULLIVAN,"Sullivan, Luke",0.00%,"Monday, 14 November 2022 - 1:00pm to 5:00pm",4,0,4,0,0,0,0,0,1.44,1.44,14/11/2022 - 1:00pm to 5:00pm,4,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-1.44,Norto5 KIDZ - Lindfield Lodge
231485-244195,244195,WALPOLE,"Walpole, Holly",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,14/11/2022 - 1:30pm to 5:30pm,4,14/11/2022 - 1:35pm to 5:30pm,4,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
220924-243079,243079,BIBIN,"Bibin, Ewan",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,15/11/2022 - 7:30am to 6:00pm,10.5,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Station Close
233489-242957,242957,ANGELL,"Angell, Mason",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,3,7,26.1,0,0,0,0,5.99,32.09,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:10am to 5:42pm,6,4,34.8,0,0,0,0,0,1.44,36.24,4.15,Norto5 KIDZ - West End Farm
238802-242976,242976,ATKINSON,"Atkinson, Ted",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,15/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-88.41,Norto5 KIDZ - Lindfield Lodge
238291-243052,243052,BARNES,"Barnes, Oliver",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,15/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - West End Farm
209118-243139,243139,BROOMFIELD,"Broomfield, Naya",0.00%,"Tuesday, 15 November 2022 - 8:00am to 5:00pm",9,9,0,81,0,0,0,0,5.99,86.99,15/11/2022 - 8:00am to 5:00pm,9,15/11/2022 - 8:00am to 5:00pm,0,9,81,0,0,0,0,0,5.99,86.99,0,Norto5 KIDZ - West End Farm
190488-243192,243192,COBBOLD,"Cobbold, Brody",0.00%,"Tuesday, 15 November 2022 - 7:30am to 1:00pm",5.5,5.5,0,53.08,0,0,0,0,4.55,57.63,15/11/2022 - 8:00am to 1:00pm,5,15/11/2022 - 8:08am to 1:00pm,0,5,48.25,0,0,0,0,0,4.55,52.8,-4.83,Norto5 KIDZ - Lindfield Lodge
242874-243214,243214,CORCORAN,"Corcoran, Arthur",5.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,81,0,-4.05,0,0,1.44,78.39,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:17am to 5:19pm,0,10,81,0,0,-4.05,0,0,1.44,78.39,0,KIDZ Academy - Cuckfield
242875-243223,243223,CORCORAN,"Corcoran, Maeve",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,1.16,86.16,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:17am to 5:19pm,0,10,85,0,0,0,0,0,1.16,86.16,0,KIDZ Academy - Cuckfield
187923-243249,243249,CRAIGD,"Craig-Davies, Lara ",5.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,-4.25,0,0,3.41,84.16,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:17am to 5:43pm,0,10,85,0,0,-4.25,0,0,3.41,84.16,0,KIDZ Academy - Cuckfield
208216-243363,243363,FIGG,"Figg, Henry",0.00%,"Tuesday, 15 November 2022 - 8:00am to 12:00pm",4,0,4,0,0,0,0,0,0,0,15/11/2022 - 8:00am to 12:00pm,4,15/11/2022 - 8:17am to 12:00pm,4,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
196491-243390,243390,GARRETT,"Garrett, Darcie",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,81,0,0,0,0,5.99,86.99,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 9:58am to 5:16pm,0,10,81,0,0,0,0,0,5.99,86.99,0,Norto5 KIDZ - West End Farm
234429-243499,243499,GREENER_JONES,"Greener-Jones , Isla ",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,15/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - West End Farm
228122-243607,243607,ISAAC,"Isaac, Millie",0.00%,"Tuesday, 15 November 2022 - 8:00am to 3:30pm",7.5,7.5,0,75,0,0,0,0,2.25,77.25,15/11/2022 - 8:00am to 3:30pm,7.5,15/11/2022 - 8:00am to 3:30pm,0,7.5,75,0,0,0,0,0,2.25,77.25,0,Norto5 KIDZ - West End Farm
182193-243676,243676,KANE,"Kane, Dylan",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,0.5,9.5,4.35,0,0,0,0,5.99,10.34,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:18am to 5:43pm,10,0,0,0,0,0,0,0,5.99,5.99,-4.35,KIDZ Academy - Cuckfield
233787-243706,243706,KEANE,"Keane, Ophelia",0.00%,"Tuesday, 15 November 2022 - 8:00am to 5:30pm",9.5,9.5,0,85,0,0,0,0,3.41,88.41,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:17am to 5:50pm,0,10,85,0,0,0,0,0,3.41,88.41,0,KIDZ Academy - Cuckfield
239865-243874,243874,PERRY,"Perry, Alesha",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,7.5,2.5,65.25,0,0,4.57,0,1.44,71.26,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:15am to 3:46pm,10,0,0,0,0,0,0,0,5.99,5.99,-65.27,KIDZ Academy - Lindfield
210725-243887,243887,PETKOVA,"Petkova, Angelica",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,15/11/2022 - 8:00am to 1:30pm,5.5,15/11/2022 - 8:09am to 1:30pm,5.5,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
235930-243970,243970,RIAZ,"Riaz, Aaron",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 9:00am to 6:00pm,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - Lindfield Lodge
242543-244024,244024,SIMMONS,"Simmons, Aurora",0.00%,"Tuesday, 15 November 2022 - 8:00am to 1:00pm",5,5,0,50,0,0,3.5,0,2.25,55.75,15/11/2022 - 8:00am to 1:00pm,5,15/11/2022 - 9:13am to 1:01pm,0,5,50,0,0,0,0,0,2.25,52.25,-3.5,KIDZ Academy - Lindfield
216099-244034,244034,SLATER,"Slater, Luca",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,15/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-88.41,Norto5 KIDZ - Lindfield Lodge
220968-244050,244050,SMITH_BARRELL,"Smith, Noah",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,1.16,86.16,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:08am to 6:00pm,0,10,85,0,0,0,0,0,1.16,86.16,0,Norto5 KIDZ - Lindfield Lodge
154848-244116,244116,TAYLOR02,"Taylor, Maggie",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,74,0,0,0,0,5.99,79.99,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:16am to 6:00pm,0,10,74,0,0,0,0,0,5.99,79.99,0,Norto5 KIDZ - Lindfield Lodge
223656-244128,244128,TOONE,"Toone, Jacob ",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,5.95,0,3.41,94.36,15/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-94.36,Norto5 KIDZ - West End Farm
220914-244139,244139,TRACY,"Tracy, Jack",0.00%,"Tuesday, 15 November 2022 - 8:00am to 2:00pm",6,6,0,60,0,0,0,0,2.25,62.25,15/11/2022 - 8:00am to 2:00pm,6,15/11/2022 - 8:56am to 1:09pm,0,6,60,0,0,0,0,0,2.25,62.25,0,Norto5 KIDZ - West End Farm
208663-244180,244180,WALKER,"Walker, Charlotte",5.00%,"Tuesday, 15 November 2022 - 8:00am to 4:30pm",8.5,8.5,0,81,0,-4.05,0,0,5.99,82.94,15/11/2022 - 8:00am to 3:30pm,7.5,15/11/2022 - 8:17am to 3:25pm,0,7.5,72.38,0,0,-3.62,0,0,4.55,73.31,-9.63,KIDZ Academy - Cuckfield
231197-244216,244216,WATERS,"Waters, Amber",0.00%,"Tuesday, 15 November 2022 - 8:00am to 6:00pm",10,0,10,0,0,0,0,0,0,0,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:45am to 5:41pm,10,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
179983-244299,244299,WOOD,"Wood, Olivia",0.00%,"Tuesday, 15 November 2022 - 8:00am to 1:00pm",5,5,0,48.25,0,0,0,0,4.55,52.8,15/11/2022 - 8:00am to 1:00pm,5,15/11/2022 - 8:18am to 1:00pm,0,5,48.25,0,0,0,0,0,4.55,52.8,0,Norto5 KIDZ - Lindfield Lodge
193474-244618,244618,MISSURE,"Missure, Emanuele",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:18am to 5:55pm,0,10,85,0,0,0,0,0,3.41,88.41,88.41,Norto5 KIDZ - Lindfield Lodge
129152-245106,245106,WILLIS,"Willis, Harrison",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,15/11/2022 - 8:00am to 6:00pm,10,15/11/2022 - 8:59am to 6:00pm,6,4,34.8,0,0,0,0,0,5.99,40.79,40.79,Norto5 KIDZ - Lindfield Lodge
235925-243064,243064,BERENDE,"Berende, Darius",5.00%,"Tuesday, 15 November 2022 - 8:30am to 2:30pm",6,0,6,0,0,0,0,0,0,0,15/11/2022 - 8:30am to 2:30pm,6,15/11/2022 - 8:32am to 2:27pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
193662-243182,243182,CANNINGS,"Cannings, Lucas",0.00%,"Tuesday, 15 November 2022 - 8:30am to 5:00pm",8.5,0,8.5,0,0,0,0,0,5.99,5.99,15/11/2022 - 8:30am to 5:00pm,8.5,01/01/2000 - 12:00am,8.5,0,0,0,0,0,0,0,5.99,5.99,0,KIDZ Academy - Cuckfield
233844-243423,243423,GEORGE,"George, Milo",0.00%,"Tuesday, 15 November 2022 - 8:30am to 12:30pm",4,4,0,38.6,0,0,0,0,4.75,43.35,15/11/2022 - 8:30am to 12:30pm,4,15/11/2022 - 9:02am to 12:30pm,0,4,38.6,0,0,0,0,0,4.75,43.35,0,KIDZ Academy - Cuckfield
177412-243465,243465,GOERING,"Goering, Minnie",0.00%,"Tuesday, 15 November 2022 - 8:30am to 3:00pm",6.5,0,6.5,0,0,0,0,0,4.55,4.55,15/11/2022 - 8:30am to 3:00pm,6.5,15/11/2022 - 8:45am to 3:00pm,6.5,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - West End Farm
233268-243959,243959,REEVE,"Reeve, Oscar",5.00%,"Tuesday, 15 November 2022 - 8:30am to 5:30pm",9,9,0,81,0,-4.05,0,0,5.99,82.94,15/11/2022 - 8:30am to 5:30pm,9,15/11/2022 - 8:30am to 5:30pm,0,9,81,0,0,-4.05,0,0,5.99,82.94,0,Norto5 KIDZ - West End Farm
171181-242990,242990,BAILEY01,"Bailey , Benjamin ",0.00%,"Tuesday, 15 November 2022 - 9:00am to 5:00pm",8,1.5,6.5,13.05,0,0,0,0,0,13.05,15/11/2022 - 9:00am to 5:00pm,8,15/11/2022 - 9:15am to 5:00pm,6.5,1.5,13.05,0,0,0,0,0,0,13.05,0,KIDZ Academy - Cuckfield
242180-243010,243010,BAILEY_R,"Bailey, Ross",0.00%,"Tuesday, 15 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,4.55,4.55,15/11/2022 - 9:00am to 2:00pm,5,15/11/2022 - 8:56am to 1:35pm,5,0,0,0,0,0,0,0,0,0,-4.55,KIDZ Academy - Lindfield
242303-243026,243026,BAKER_H,"Baker, Hamida",0.00%,"Tuesday, 15 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,15/11/2022 - 9:00am to 12:00pm,3,15/11/2022 - 8:59am to 11:59am,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
223386-243041,243041,BALDWIN,"Baldwin, Lainey",0.00%,"Tuesday, 15 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,0,0,15/11/2022 - 9:00am to 2:00pm,5,15/11/2022 - 8:59am to 2:00pm,5,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
